station,name,num_readings,avg_temp_f,max_temp_f,min_temp_f,total_prcp_in
16726499999,"SYROS DIMITRIOS VIKELAS, GR",236,66.98,89.5,42.5,5.48
16221099999,"RIETI, IT",235,66.96,91.9,38.8,0.0
13601099999,"TIRANA LA PRAKA, AL",236,66.96,93.5,44.0,17.41
16453099999,"GELA, IT",212,66.95,89.5,50.5,0.0
08238099999,"TORTOSA, SP",236,66.94,89.7,39.6,7.84
08286099999,"CASTELLON ALMAZORA, SP",235,66.93,88.2,43.6,9.91
14441099999,"KOMIZA, HR",236,66.92,93.6,44.2,12.67
08383099999,"HUELVA, SP",233,66.92,91.8,45.5,18.82
08284099999,"VALENCIA, SP",236,66.9,90.8,41.6,7.99
08410099999,"CORDOBA, SP",236,66.85,93.2,38.2,21.53
08373099999,"IBIZA, SP",236,66.84,84.4,47.2,6.23
08482099999,"MALAGA, SP",236,66.67,89.3,45.3,14.17
16746099999,"SOUDA, GR",236,66.64,88.9,43.1,5.78
16217099999,"ORTE, IT",164,66.64,84.7,34.9,0.0
08000199999,"MADEIRA, PO",236,66.62,77.0,57.3,0.0
16460099999,"CATANIA FONTANAROSSA, IT",236,66.6,88.6,46.6,12.46
14447099999,"HVAR, HR",236,66.53,88.9,43.2,18.37
08554099999,"FARO, PO",235,66.45,88.7,51.7,0.0
08451099999,"JEREZ, SP",236,66.44,91.0,42.6,20.94
14472099999,"DUBROVNIK GORICA, HR",236,66.44,92.3,45.1,27.21
08449013025,"ROTA NAS, SP",236,66.43,90.7,44.6,0.0
16742099999,"KOS, GR",236,66.39,91.8,42.0,8.49
13461099999,"BAR, MJ",236,66.38,89.0,45.3,22.42
16292399999,"PONTECAGNANO SALERNO, IT",236,66.33,91.2,46.0,0.0
08397099999,"MORON AB, SP",236,66.31,95.1,41.5,15.96
14445099999,"SPLIT MARJAN, HR",236,66.3,94.0,40.7,14.79
16741099999,"EL VENIZELOS, GR",236,66.3,93.2,40.1,4.28
16642199999,"PAROS, GR",236,66.27,86.9,42.4,6.03
08306099999,"PALMA DE MALLORCA, SP",236,66.24,85.9,42.0,8.33
16360099999,"SANTA MARIA DI LEUC, IT",222,66.22,90.7,45.8,9.93
16138099999,"FERRARA AUT, IT",195,66.19,88.6,35.0,14.27
16687099999,"ARAXOS, GR",236,66.18,92.9,46.1,0.0
16470099999,"PANTELLERIA, IT",236,66.12,91.4,51.3,3.67
16643099999,"AKTION, GR",236,66.05,94.1,46.4,9.11
08524099999,"PORTO SANTO, PO",236,66.02,74.8,57.1,10.45
13622099999,"VLORE, AL",236,66.01,87.6,44.9,20.91
16560099999,"ELMAS, IT",236,65.98,85.0,44.8,9.22
16546099999,"DECIMOMANNU, IT",236,65.96,88.2,45.3,5.35
16716199999,"ELEFTHERIOS VENIZELOS INTERNATIONAL, GR",236,65.89,93.2,39.7,0.0
16429099999,"TRAPANI BIRGI, IT",236,65.84,93.4,49.4,9.45
08330099999,"TALAVERA LA REAL BADAJOZ, ES",236,65.84,91.7,39.4,16.68
16726399999,"MIKONOS, GR",236,65.82,88.9,40.9,8.9
14443099999,"PALAGRUZA, HR",234,65.74,85.8,44.6,7.28
16122099999,"ALBENGA, IT",220,65.72,95.5,45.5,0.0
16738099999,"MILOS, GR",229,65.67,91.6,41.4,5.54
16531099999,"OLBIA COSTA SMERALDA, IT",236,65.67,86.3,46.7,9.3
16726099999,"KALAMATA, GR",236,65.64,89.8,45.9,14.19
16684099999,"SKIROS, GR",236,65.6,92.0,40.0,5.2
16289034113,"NAPLES, IT",236,65.55,88.2,45.3,14.44
16244099999,"FROSINONE IT AFB, IT",165,65.52,91.4,40.4,0.0
16400099999,"USTICA ISLAND, IT",231,65.5,86.1,48.3,1.18
16125099999,"SARZANA LUNI, IT",197,65.41,87.5,41.0,17.06
08014399999,"VALENCIA, SP",236,65.39,88.6,39.6,0.0
08014199999,"CIUDAD REAL, SP",233,65.38,91.4,34.8,0.0
07765099999,"SOLENZARA, FR",236,65.38,88.4,45.7,0.08
14462099999,"PLOCE, HR",236,65.36,93.0,40.6,25.71
14438099999,"SIBENIK, HR",236,65.35,93.2,39.0,13.06
16475099999,"COMISO, IT",236,65.33,90.1,48.0,0.0
14452099999,"LASTOVO, HR",236,65.23,90.4,41.9,14.43
14321099999,"RAB, HR",236,65.21,92.0,41.7,25.48
16064099999,"CAMERI, IT",195,65.15,90.7,32.9,23.62
16320099999,"CASALE BRINDISI, IT",236,65.14,87.0,46.2,9.62
16332099999,"LECCE, IT",236,65.1,90.0,44.3,12.41
08314099999,"MENORCA, SP",236,65.09,85.3,46.9,8.32
16362099999,"LAMEZIA TERME, IT",236,65.09,89.8,46.6,17.21
13462099999,"PODGORICA GOLUBOVCI, MJ",236,65.03,94.6,39.1,46.95
14444099999,"SPLIT, HR",236,65.01,92.5,40.6,18.08
16682099999,"ANDRAVIDA, GR",236,64.96,87.9,41.5,21.98
08501099999,"FLORES, PO",235,64.94,78.6,48.3,1.09
13611099999,"DURRES, AL",236,64.91,86.9,44.8,26.92
08261099999,"CACERES, SP",236,64.88,92.9,40.2,17.09
13623099999,"SAZAN ISLAND, AL",236,64.86,94.8,39.2,23.93
08505099999,"HORTA, PO",235,64.81,78.0,51.1,0.24
17022399999,"SAMANDIRA, TU",155,64.72,97.0,32.0,0.0
13462499999,"PODGORICA TITOGRAD, MJ",236,64.71,94.4,37.1,0.0
14323099999,"SENJ, HR",236,64.68,91.5,35.6,30.03
16294099999,"CAPRI ISLAND, IT",229,64.67,86.4,45.8,9.92
13600099999,"SHKODRA, AL",236,64.62,93.3,40.3,20.64
08532099999,"SINTRA, PO",156,64.59,86.5,49.7,13.99
16715099999,"TATOI DEKELIA, GR",236,64.59,92.5,35.9,6.68
16095099999,"PADOVA, IT",203,64.55,91.0,36.0,0.0
14314099999,"MALI LOSINJ, HR",213,64.55,87.6,41.2,14.17
16239099999,"CIAMPINO, IT",236,64.48,86.9,39.9,13.62
07690099999,"NICE COTE D AZUR, FR",236,64.46,86.5,44.8,1.0
08419099999,"GRANADA, SP",236,64.44,88.9,35.2,7.74
16216099999,"VITERBO, IT",236,64.42,89.5,39.3,16.68
08515099999,"SANTA MARIA, PO",235,64.41,76.4,53.2,7.41
16520099999,"ALGHERO, IT",236,64.34,85.4,41.7,11.99
16084099999,"PIACENZA, IT",236,64.33,93.1,35.0,16.65
07747099999,"PERPIGNAN RIVESALTES, FR",236,64.31,93.6,37.6,0.15
08181099999,"BARCELONA, SP",236,64.27,84.8,41.0,11.96
16245099999,"PRATICA DI MARE, IT",236,64.23,86.8,42.1,0.0
14428099999,"ZADAR PUNTAMIKA, HR",236,64.22,91.0,39.9,13.72
07780099999,"FIGARI SUD CORSE, FR",236,64.22,84.9,42.4,0.45
16215099999,"CIVITAVECCHIA, IT",211,64.22,83.7,45.6,0.0
16624099999,"MEGAS ALEXANDROS INTERNATIONAL, GR",236,64.2,88.0,36.0,7.42
08014499999,"ARMILLA, SP",163,64.2,89.9,38.0,0.0
16059599999,"AERITALIA TORINO, IT",236,64.18,91.2,37.2,0.0
16170099999,"FIRENZE, IT",236,64.15,88.8,37.7,27.23
16760099999,"KASTELI AIRPORT, GR",236,64.14,87.9,39.5,11.62
07650099999,"MARSEILLE PROVENCE, FR",236,64.13,88.3,34.0,0.13
16214099999,"CIVITAVECCHIA, IT",211,64.13,83.8,45.4,9.44
13624099999,"QYTETI STALIN, AL",236,64.12,86.7,39.5,8.09
14474099999,"DUBROVNIK, HR",236,64.11,91.8,41.8,23.86
16699099999,"TANAGRA, GR",236,64.09,93.2,37.2,0.0
13592099999,"DEMIR KAPIJA, MK",233,64.04,95.4,29.6,9.08
08562099999,"BEJA, PO",236,64.02,91.9,44.8,1.09
07761099999,"CAMPO DELL ORO AJACCIO NAPOLEON BONAPARTE, FR",236,64.01,84.2,42.5,0.41
08509099999,"LAJES, PO",236,64.0,76.9,50.5,28.56
08534099999,"MONTIJO, PO",236,63.99,86.0,44.7,17.0
07647099999,"ISTRES LE TUBE, FR",236,63.98,88.9,34.7,0.05
16120099999,"GENOVA SESTRI, IT",236,63.96,89.6,40.9,45.15
08561099999,"BEJA B. AEREA, PO",236,63.94,91.9,44.8,15.6
08175099999,"REUS, SP",236,63.93,84.8,38.8,8.3
16242099999,"FIUMICINO, IT",236,63.93,84.4,41.9,12.96
16261099999,"AMENDOLA, IT",236,63.91,87.2,40.8,6.08
16270099999,"BARI, IT",236,63.83,87.9,42.8,10.82
02443099999,"ENKOPING, SW",1,63.8,63.8,63.8,0.0
07790099999,"BASTIA PORETTA, FR",236,63.8,85.9,43.2,0.02
07667099999,"HYERES LE PALYVESTRE, FR",236,63.69,87.5,44.3,0.16
16158099999,"PISA, IT",236,63.64,86.7,37.4,24.93
16665099999,"NEA ANCHIALOS, GR",236,63.58,89.5,37.2,0.0
08512099999,"PONTA DELGADA, PO",234,63.54,75.0,52.2,0.0
08160099999,"ZARAGOZA AB, SP",236,63.53,92.3,35.0,9.65
16541099999,"PERDASDEFOGU, IT",161,63.51,91.3,39.1,12.02
13615099999,"TIRANA RINAS, AL",236,63.5,86.8,38.6,0.0
16650099999,"LIMNOS, GR",236,63.48,87.2,35.8,8.11
16622099999,"MAKEDONIA, GR",236,63.46,86.9,37.7,7.0
08536099999,"LISBOA, PO",235,63.44,87.7,46.3,1.69
08224099999,"GETAFE, SP",236,63.43,90.5,36.6,16.07
16107099999,"CONCORDIA SAGITTARIA, IT",181,63.41,83.5,34.4,0.0
07675099999,"LE LUC LE CANNET, FR",236,63.36,88.8,36.8,0.33
16206099999,"GROSSETO, IT",236,63.35,87.6,40.8,0.0
16325099999,"MARINA DI GINOSA, IT",135,63.31,86.7,44.2,5.56
07643099999,"MONTPELLIER MEDITERRANEE, FR",236,63.29,89.4,34.2,0.04
07579599999,"VALENCE CHABEUIL, FR",236,63.24,95.9,31.6,0.97
16436099999,"SCIACCA, IT",236,63.23,85.9,47.2,0.0
08176399999,"SABADELL, SP",236,63.17,86.4,36.9,0.0
16147099999,"FORLI, IT",236,63.13,88.5,33.7,0.0
16253099999,"GRAZZANISE, IT",236,63.11,85.9,43.2,15.92
08535099999,"LISBOA GEOF, PO",3,63.1,65.3,60.3,0.54
07684099999,"CANNES MANDELIEU, FR",236,63.01,84.2,41.6,0.61
14216099999,"RIJEKA KOZALA, HR",236,62.99,90.3,36.0,41.62
08171099999,"LERIDA, SP",235,62.97,89.3,32.0,10.12
16648099999,"LARISA, GR",236,62.97,89.8,36.7,6.71
16259199999,"PARMA, IT",236,62.92,89.3,33.6,0.0
13625099999,"GJIROKASTRA, AL",236,62.87,91.3,35.9,13.54
16153099999,"CAPE MELE, IT",152,62.8,86.2,45.3,10.51
07476099999,"AVIGNON CAUMONT, FR",236,62.77,89.5,33.1,0.0
16606099999,"SERRAI, GR",236,62.74,89.7,34.4,7.54
13457099999,"TIVAT, MJ",236,62.74,89.5,37.8,20.01
07631099999,"TOULOUSE FRANCAZAL, FR",236,62.61,92.0,32.4,0.92
13597099999,"GEVGELIJA, MK",231,62.6,90.4,33.0,10.83
08048099999,"ORENSE, SP",228,62.59,87.7,36.2,17.47
07646099999,"NIMES GARONS, FR",236,62.57,89.3,35.6,0.09
13116099999,"RIJEKA, HR",236,62.54,89.6,36.5,30.34
17050099999,"EDIRNE, TU",236,62.51,92.0,29.5,10.06
07641599999,"BEZIERS VIAS, FR",236,62.5,89.1,31.2,0.0
16224099999,"VIGNA DI VALLE MIL, IT",236,62.44,86.8,41.0,19.61
07579099999,"ORANGE CARITAT, FR",235,62.37,89.0,34.7,0.6
16627099999,"DIMOKRITOS, GR",236,62.35,90.9,31.6,6.88
07648099999,"SALON DE PROVENCE, FR",236,62.28,86.0,31.8,0.24
13348099999,"MOSTAR, BK",236,62.17,91.4,32.1,0.0
08223099999,"CUATRO VIENTOS, SP",236,62.16,89.5,37.2,15.42
16146099999,"POINT MARINA RAVENN, IT",122,62.12,80.5,39.4,0.0
08558199999,"OVAR, PO",235,62.08,80.6,43.6,0.0
08221099999,"ADOLFO SUAREZ MADRID BARAJAS, ES",236,62.07,88.8,34.1,13.79
16230099999,"PESCARA, IT",236,62.02,86.5,41.2,11.15
16337099999,"BONIFATI CAPE, IT",221,62.0,94.2,40.5,8.27
16172099999,"AREZZO, IT",212,61.99,84.9,40.0,0.0
16259399999,"BRESCIA MONTICHIARI, IT",236,61.97,88.8,32.6,0.0
14442099999,"KNIN, HR",236,61.96,90.7,33.5,20.49
16310099999,"CAPE PALINURO, IT",21,61.9,68.2,57.7,0.0
08544099999,"OVAR MACEDA, PO",234,61.86,79.2,43.3,27.68
16191099999,"ANCONA FALCONARA, IT",236,61.83,85.0,39.0,16.72
16140099999,"BOLOGNA, IT",236,61.8,87.2,33.3,14.27
14431099999,"ZADAR, HR",236,61.75,91.4,34.8,20.63
07754099999,"CALVI SAINTE CATHERINE, FR",196,61.72,88.7,43.7,0.05
08219099999,"MADRI COLMENAR, SP",236,61.69,93.3,33.6,0.0
15712099999,"SANDANSKI, BU",236,61.68,91.7,30.8,7.25
08025099999,"BILBAO, SP",236,61.67,89.6,39.1,20.72
07629399999,"MURET LHERM, FR",236,61.65,94.7,32.6,0.0
16314099999,"MATERA, IT",230,61.58,90.1,38.1,14.2
08451599999,"LLEIDA ALGUAIRE AIRPORT, SP",236,61.58,87.6,32.2,0.0
08029099999,"SAN SEBASTIAN, SP",236,61.53,85.3,37.4,39.26
16080099999,"MILANO LINATE, IT",236,61.49,87.1,31.7,16.0
07635099999,"CARCASSONNE SALVAZA, FR",236,61.47,87.7,33.5,0.63
08226099999,"GUADALAJARA, SP",234,61.47,88.3,35.0,18.34
11260099999,"MALLNITZ BAD, AU",4,61.45,68.3,51.3,0.0
17060099999,"ATATURK, TU",236,61.45,88.5,31.5,9.01
16149099999,"RIMINI MIRAMARE, IT",236,61.45,86.5,34.1,17.46
10775099999,"HOHENFELS ARMY AIR FIELD, GM",111,61.34,78.9,27.7,6.2
08044099999,"PONTEVEDRA, SP",236,61.33,81.7,42.7,35.68
08227099999,"TORREJON, SP",236,61.26,87.9,33.3,0.0
07630099999,"TOULOUSE BLAGNAC, FR",236,61.25,89.4,30.7,0.79
16312099999,"GIOIA DEL COLLE, IT",236,61.24,87.9,40.1,11.42
16099099999,"TREVISO, IT",236,61.22,86.3,34.2,25.09
08280099999,"ALBACETE, SP",236,61.22,87.3,31.1,12.27
16181099999,"PERUGIA S FRANCESCO, IT",236,61.18,84.3,37.8,0.0
08014299999,"BARDENAS REALES, SP",236,61.17,90.4,34.4,0.0
14537099999,"SANSKI MOST, BK",228,61.16,89.2,28.2,22.09
02605099999,"HALLANDS VADERO, SW",27,61.11,67.7,48.0,1.21
16036099999,"AVIANO AB, IT",194,60.99,86.9,33.5,30.98
17063099999,"SABIHA GOKCEN, TU",236,60.91,89.3,30.4,12.62
08545099999,"PORTO, PO",236,60.91,81.6,44.1,0.0
16090099999,"VERONA VILLAFRANCA, IT",236,60.9,86.3,32.3,18.66
14554099999,"GRADACAC, BK",212,60.89,93.1,26.2,14.94
16108099999,"RONCHI DEI LEGIONARI TRIESTE, IT",236,60.88,86.4,34.6,28.03
14105099999,"PORTOROZ, SI",236,60.86,86.0,34.7,24.11
14307099999,"PULA, HR",236,60.85,86.0,36.2,22.08
16105099999,"VENEZIA TESSERA, IT",236,60.83,86.5,34.9,19.48
16434099999,"PRIZZI, IT",188,60.77,87.0,38.0,0.83
07602099999,"ANGLET BIARRITZ PAYS BASQUE, FR",236,60.73,83.9,34.3,2.6
08540099999,"MONTE REAL, PO",236,60.67,77.4,41.5,21.56
16020099999,"BOLZANO, IT",236,60.58,86.2,29.4,16.87
08184099999,"GIRONA, SP",236,60.55,83.3,36.2,19.38
14106099999,"NOVA GORICA, SI",227,60.47,85.0,33.5,34.43
16110099999,"TRIESTE, IT",144,60.47,86.8,36.0,2.18
16252099999,"CAMPOBASSO, IT",158,60.45,84.6,31.2,8.86
16088099999,"GHEDI, IT",236,60.42,85.3,32.3,21.26
07510099999,"BORDEAUX MERIGNAC, FR",236,60.42,85.9,30.4,2.57
07603099999,"DAX SEYRESSE, FR",236,60.4,83.5,32.8,2.69
08001099999,"LA CORUNA, SP",236,60.39,75.1,46.4,27.66
07374099999,"VICHY CHARMEIL, FR",235,60.38,91.7,27.3,1.1
16098099999,"TREVISO ISTRANA, IT",236,60.36,85.3,32.8,13.9
16693199999,"DESFINA, GR",229,60.35,87.8,32.5,0.0
08021099999,"SANTANDER, SP",236,60.35,79.5,40.0,19.16
14236099999,"ZAGREB GRIC, HR",236,60.33,89.2,28.6,18.49
13586099999,"SKOPJE, MK",236,60.31,89.5,28.0,9.1
17052099999,"KIRKLARELI, TU",236,60.26,88.2,27.5,9.91
17038099999,"TRABZON, TU",236,60.25,83.7,32.7,13.97
16642099999,"IOANNINA AIRPORT, GR",236,60.24,88.8,36.5,13.36
16618199999,"EDESSA, GR",229,60.17,87.0,31.8,0.0
08023099999,"SANTANDER, SP",236,60.15,77.4,42.3,18.76
16076099999,"BERGAMO ORIO AL SERIO, IT",236,60.13,86.0,33.5,35.91
07260099999,"NEVERS FOURCHAMBAULT, FR",236,60.12,91.8,28.1,2.2
16059099999,"TORINO CASELLE, IT",236,60.11,84.9,32.3,24.62
07151599999,"CASTRES MAZAMET, FR",236,60.06,87.7,28.1,0.0
16045099999,"RIVOLTO UDINE, IT",236,60.03,83.4,31.3,29.74
17026099999,"SINOP, TU",236,60.02,86.4,32.4,11.02
16232099999,"TERMOLI, IT",158,60.01,79.2,47.5,5.93
08130099999,"ZAMORA, SP",235,59.99,87.7,31.6,11.09
17034099999,"GIRESUN, TU",236,59.98,84.3,31.3,26.42
17056099999,"TEKIRDAG, TU",236,59.97,84.5,30.2,7.91
08231099999,"CUENCA, SP",236,59.96,85.6,34.7,14.14
07412099999,"COGNAC CHATEAUBERNARD, FR",236,59.95,88.2,32.1,2.44
17042099999,"HOPA, TU",236,59.91,82.8,31.7,41.04
13274099999,"BEOGRAD, RI",236,59.88,88.5,27.7,13.97
08094099999,"HUESCA PIRINEOS, SP",236,59.87,88.6,30.3,13.23
13599099999,"KAVADARCI, MK",230,59.79,89.2,29.7,8.06
13588099999,"SKOPJE ZAJCEV RID, MK",226,59.77,92.6,29.6,5.08
15525799999,"BALCHICK AB, BU",160,59.76,89.4,21.5,0.0
08045099999,"VIGO, SP",236,59.73,81.0,40.9,47.03
17030099999,"SAMSUN, TU",236,59.72,83.8,30.0,20.29
02628099999,"HANO, SW",2,59.7,63.2,56.2,0.11
07607099999,"MONT DE MARSAN, FR",236,59.64,85.9,29.2,1.77
16280099999,"PONZA ISLAND, IT",148,59.63,78.4,47.9,0.0
06069099999,"FOULUM, DA",100,59.63,71.2,46.0,0.0
17040099999,"RIZE, TU",236,59.61,84.8,32.0,39.56
07610099999,"PAU PYRENEES, FR",236,59.6,83.5,29.9,2.06
07524099999,"AGEN LA GARENNE, FR",231,59.49,91.4,28.3,1.2
17033099999,"ORDU, TU",236,59.41,83.8,30.5,20.57
07502099999,"CAZAUX, FR",235,59.41,85.5,30.3,2.37
13595099999,"STRUMICA, MK",232,59.37,91.4,29.0,12.14
08053099999,"PONFERRADA, SP",226,59.35,86.6,29.2,12.21
16066099999,"MALPENSA, IT",236,59.33,84.5,29.9,32.7
13610099999,"KUKES INTERNATIONIONAL AIRPORT, AL",236,59.26,88.5,30.3,14.23
07420099999,"CHAMPNIERS, FR",236,59.24,87.3,30.7,2.89
17061099999,"SARIYER, TU",236,59.23,84.9,31.0,13.6
15625099999,"PLOVDIV, BU",236,59.22,89.8,25.6,0.0
15410099999,"DROBETA TURNU SEVERIN, RO",236,59.22,88.0,26.5,10.41
16450099999,"ENNA, IT",232,59.14,88.6,39.4,6.03
16115099999,"MALANOTTE MOUNTAIN, IT",219,59.12,84.1,34.7,0.0
14308099999,"PAZIN, HR",236,59.12,86.9,31.3,31.05
14544099999,"BUGOJNO, BK",230,59.11,89.4,20.1,17.43
13591099999,"STIP, MK",233,59.05,91.4,27.3,9.8
15482099999,"CALAFAT, RO",236,59.03,89.7,22.8,7.57
17054099999,"CORLU, TU",236,59.01,87.0,27.6,0.0
16114099999,"MONDOVI, IT",219,59.01,83.9,34.5,13.69
07317099999,"BISCAROSSE PARENTIS, FR",236,58.95,85.4,33.7,0.0
07480099999,"LYON BRON, FR",236,58.93,86.2,25.9,0.7
17022099999,"ZONGULDAK CAYCUMA, TR",236,58.92,84.7,28.1,18.97
11016299999,"LUGPLATZ VOSLAU, AU",232,58.88,88.6,25.9,0.0
07481099999,"LYON SAINT EXUPERY, FR",236,58.88,87.0,25.0,0.99
15640099999,"SLIVEN, BU",236,58.82,87.8,24.7,8.43
14240099999,"ZAGREB\MAKSIMIR, HR",236,58.81,87.6,28.0,19.37
08141099999,"VALLADOLID, SP",236,58.8,87.6,31.2,13.73
13459099999,"NIKSIC, MJ",236,58.8,87.7,32.0,24.29
07530099999,"ROUMANIERE BERGERAC DORDOGNE PERIGORD, FR",236,58.76,85.6,27.1,1.4
14382099999,"GRADISTE, HR",236,58.76,87.8,27.0,19.76
13388099999,"NIS, RI",236,58.73,89.0,24.1,7.48
08027099999,"SAN SEBASTIAN IGUELDO, SP",235,58.73,82.7,36.9,31.83
13295099999,"NEGOTIN, RI",236,58.72,87.3,23.0,8.21
06760099999,"LOCARNO MONTI, CH",236,58.72,82.0,33.7,48.36
15525599999,"GRAF IGNATIEVO, BU",234,58.71,88.4,25.0,0.0
16710099999,"TRIPOLIS, GR",236,58.7,85.5,33.3,13.08
08002099999,"A CORUNA, SP",236,58.68,75.0,40.9,24.1
14542099999,"BANJA LUKA, BK",236,58.65,86.5,27.5,26.17
16231099999,"MONTE S. ANGELO, IT",236,58.62,83.2,34.1,14.75
14280099999,"OSIJEK CEPIN, HR",236,58.61,87.9,27.5,22.03
07316099999,"LA ROCHELLE ILE DE RE, FR",236,58.57,85.1,31.6,0.1
08084099999,"LOGRONO AGONCILLO, SP",236,58.56,84.9,33.1,11.26
08011099999,"ASTURIAS, SP",236,58.56,73.5,41.5,19.49
15525499999,"DOLNA MITROPOLIA AB, BU",234,58.54,90.6,18.5,0.0
15730099999,"KURDJALI, BU",236,58.53,87.1,25.1,11.78
14640099999,"LIVNO, BK",224,58.49,87.4,22.7,21.45
14370099999,"SLAVONSKI BROD, HR",236,58.44,86.3,27.3,18.87
15422099999,"BUCURESTI FILARET, RO",236,58.4,88.9,21.6,13.86
13461599999,"OHRID AERODROME, MK",230,58.39,84.1,27.4,7.41
14253099999,"BJELOVAR, HR",236,58.38,84.0,27.4,16.68
